index,ocn,name,brand
432,7309,"TELEPORT COMMUNICATIONS AMERICA, LLC - PA",
433,783E,"BLOCK LINE SYSTEMS, LLC - DE",
434,349F,"PEERLESS NETWORK OF DELAWARE, LLC - DE",
435,4276,SCOTT SABO DBA ALLPAGE,
436,7220,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - DE,
437,1991,"CORETEL DELAWARE, INC. - DE",
438,312C,"IDT AMERICA, CORP. - DE",
439,0935,"D-TEL, LLC - DE",
440,826F,"MCC TELEPHONY OF THE MID-ATLANTIC, LLC - DE",
441,274E,"NETCARRIER TELECOM, INC. - DE",
442,4802,"LEVEL 3 COMMUNICATIONS, LLC - FL",
443,937C,"ONVOY, LLC - FL",
444,6502,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL,Verizon
445,0341,"CENTURYLINK OF FLORIDA, INC. (UNITED)",
446,7857,ORLANDO TELEPHONE COMPANY DBA SUMMIT BROADBAND,
447,8300,"TELEPORT COMMUNICATIONS AMERICA, LLC - FL",
448,6889,"OMNIPOINT MIAMI E LICENSE, LLC",
449,7448,"MCI WORLDCOM COMMUNICATIONS, INC. - FL",
450,469A,"T3 COMMUNICATIONS, INC. - FL",
451,902E,"PEERLESS NETWORK OF FLORIDA, LLC - FL",
452,982E,"BANDWIDTH.COM CLEC, LLC - FL",
453,594D,YMAX COMMUNICATIONS CORP. - FL,
454,704G,"WIDE VOICE, LLC - FL",
455,6548,"ABC PAGING CITY BEEPERS, INC.",
456,158H,INVOXIO INCORPORATED,
457,382G,"TERRA NOVA TELECOM, INC. - FL",
458,159H,"SMARTEDGENET, LLC",
459,8664,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - FL,
460,971D,PROTECTION PLUS THE FL KEYS DBA ENGAGE COMM - FL,
461,7635,"LEVEL 3 TELECOM OF FLORIDA, LP - FL",
462,480D,"OPTICAL TELECOMMUNICATIONS, INC. - FL",
463,693K,"LIVEWIRE TELECOM, LLC",
464,632K,"BARR TELL USA, LLC",
465,6701,"AERIAL COMMUNICATIONS, INC.",T-Mobile
466,6100,"XO FLORIDA, INC.",
467,8105,"SMART CITY SOLUTIONS II, LLC DBA SMART CITY METRO",
468,206A,"FUSION CLOUD SERVICES, LLC",
469,481F,"CORETEL FLORIDA, INC. - FL",
470,6483,"AMERICAN MESSAGING SERVICES, LLC",
471,0330,SMART CITY TELECOM LLC DBA SMART CITY TELECOM,
472,7472,"POWERTEL JACKSONVILLE LICENSES, INC.",
473,6617,"BAKER'S ELECTRONICS & COMM., INC.",
474,0336,"WINDSTREAM FLORIDA, INC.",
475,018A,"FUSION CLOUD SERVICES, LLC",
476,489J,"1ST POINT COMMUNICATIONS, LLC",
477,7391,CENTURYLINK COMMUNICATIONS LLC - FL,
478,7533,"BELLSOUTH TELECOMMUNICATIONS, LLC",
479,813C,"INTRADO COMMUNICATIONS, LLC",
480,010H,"INTEGRATED PATH COMMUNICATIONS, LLC - FL",
481,765A,IDT AMERICA CORP. - FL,
482,572G,"ITS FIBER, LLC",
483,472K,"CABLEVISION LIGHTPATH, LLC",
484,733J,"WIRETAP TELECOM, LLC.",
485,548J,"QUALITY VOICE & DATA, INC.",
486,685J,TYCHRON CORPORATION,
487,0328,FRONTIER FLORIDA LLC DBA FRONTIER COMM OF FLORIDA,
488,587B,"HOME TOWN TELEPHONE, LLC - FL",
489,0331,"ITS TELECOM SYSTEMS, LLC DBA BLUE STREAM FIBER",
